subject,group,w_1,lambda_1,w_2,lambda_2,beta,prop_predicted
zp01,mother,0.3309,0.1265,0.1157,0.0440,9.0695,0.810
zp02,nursery,1.0000,0.0000,-0.0185,0.0003,10.0000,1.000
zp03,nursery,0.1301,0.0000,0.1532,0.0000,8.7171,0.757
zp05,mother,0.1124,0.0000,0.1449,0.0000,7.6219,0.740
zp06,nursery,0.1132,0.0000,0.1874,0.0000,4.3509,0.664
zp07,nursery,0.1772,0.0000,0.1948,0.0000,7.0256,0.796
zp08,nursery,1.0000,1.9322,0.0954,0.0103,10.0000,0.689
zp09,mother,0.2295,0.0000,0.1183,0.0000,3.8835,0.614
zp10,mother,0.4443,0.1868,0.0312,0.0000,7.1782,0.794
zp11,mother,0.0681,0.0000,1.0000,0.2962,9.9999,0.587
zp12,nursery,0.0866,0.1401,1.0000,0.3703,10.0000,0.562
zp13,nursery,0.1278,0.1894,1.0000,0.2772,10.0000,0.588
zp14,mother,0.4689,0.1367,0.1880,0.0377,5.3633,0.703
zp15,nursery,0.3592,0.0000,0.2747,0.0443,9.5998,0.851
zp16,nursery,0.3315,9.9999,1.0000,0.1214,10.0000,0.827
zp18,mother,0.1500,0.0364,0.0544,0.0000,6.7164,0.619
zp19,nursery,0.7532,9.9956,1.0000,0.0352,10.0000,0.978
zp20,mother,0.2788,0.0000,0.1212,0.0049,6.7135,0.745
zp21,mother,1.0000,0.1424,0.2017,0.0006,10.0000,0.960
zp22,mother,1.0000,0.2787,-0.0210,0.0000,9.9999,0.959
