ID,Group,Sex,Session,Trial,Change,FoodSide,CorrectIncorrect,Delay,VisualBlock,RepeatTot,ITI,ReacTime,Side,Front,Locomotion,Pace,Anxiety,Vocalization,Threat,Fear,Affiliative,Locomotion_ITI,Pace_ITI,Anxiety_ITI,Vocalization_ITI,Threat_ITI,Fear_ITI,Affiliative_ITI
zp04,mother,male,1,1,0,R,0,3,1,0,,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
zp04,mother,male,1,2,0,R,1,3,1,0,10,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
zp04,mother,male,1,3,0,R,0,3,1,0,6,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
zp04,mother,male,1,4,0,R,1,3,1,0,11,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
zp04,mother,male,1,5,0,R,0,3,1,0,7,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
zp04,mother,male,1,6,0,R,1,3,1,0,13,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
zp04,mother,male,1,7,0,R,0,3,1,0,15,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
zp04,mother,male,1,8,0,R,1,3,1,0,40,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
zp04,mother,male,1,9,0,R,0,3,1,0,25,5,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
zp04,mother,male,1,10,0,R,1,3,1,0,6,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
zp04,mother,male,1,11,0,R,1,3,1,0,8,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
zp04,mother,male,1,12,1,L,0,3,1,0,84,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
zp04,mother,male,1,13,0,L,1,3,1,1,67,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
zp04,mother,male,1,14,0,L,1,3,1,0,31,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
zp04,mother,male,1,15,1,R,1,3,1,0,33,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
zp04,mother,male,1,16,0,R,0,3,1,0,22,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
zp04,mother,male,1,17,0,R,1,3,1,1,33,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
zp04,mother,male,1,18,0,R,1,3,1,0,8,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
zp04,mother,male,1,19,1,L,0,3,1,0,23,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
zp04,mother,male,1,20,0,L,0,5,1,0,44,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
zp04,mother,male,1,21,0,L,0,3,1,0,7,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
zp04,mother,male,1,22,0,L,0,1,1,0,12,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
zp04,mother,male,1,23,,,,,,,,,,,,,,,,,,,,,,,,
zp04,mother,male,1,24,,,,,,,,,,,,,,,,,,,,,,,,
zp04,mother,male,1,25,,,,,,,,,,,,,,,,,,,,,,,,
zp04,mother,male,2,1,0,L,0,3,1,1,,0,1,1,1,0,0,0,0,0,0,,,,,,,
zp04,mother,male,2,2,0,L,0,3,1,0,18,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
zp04,mother,male,2,3,0,L,1,1,1,1,50,2,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
zp04,mother,male,2,4,0,L,1,1,1,0,6,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
